CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
07:15;66140,864;49,976;0;72646,307;69756,09;0;0;38688;0;0;3000;2000133842;3;233,183;201,708;549;0;;;;;;;;;;;;;;;;;;;;;;;
07:30;66140,864;49,977;0;72646,558;69756,24;0,017;0,046;38690;3,766;0;3000;2000133842;7;232,973;211,677;331,629;0,158;4;83970,537;44116,81;46189,75;4,4;49,974;0;70797,1;62524,941;0;44668;0;5,7;22,27;0;6431,88;1100085399;6;235,85;258,49;257,19;0;0
07:45;66140,871;49,991;0;72646,807;69756,489;0,107;0,188;38690;24,787;0;3000;2000133842;7;233,994;214,74;215,346;0,19;4;83970,537;44116,81;46189,75;4,4;49,99;0;70797,351;62524,941;1,57;44669;0,359;6,008;31,594;0;5672,813;1100085399;1;234,07;304,469;355,789;0;0,002
08:00;66140,884;49,998;0;72647,058;69756,74;0,222;0,298;38690;51,566;0;3000;2000133842;7;234,092;238,574;238,698;0,18;4;83970,537;44116,81;46189,75;4,4;49,998;0;70797,6;62524,941;0;44669;0;0,383;34,102;0;1355,547;1100085399;1;233,211;263,414;384,477;0;0,032
08:15;66140,905;49,999;0;72647,308;69756,99;0,364;0,433;38690;84,977;0;3000;2000133842;7;234,234;247,156;247,688;0,168;4;83970,537;44116,81;46189,75;4,4;49,998;0;70797,85;62524,941;0;44669;0;0,414;35;0;1192,453;1100085399;6;233,406;269,469;394,031;0;0,032
08:30;66140,936;50,019;0;72647,556;69757,239;0,54;0,596;38690;125,789;0;3000;2000133842;7;233,845;249,805;250,313;0,148;4;83970,537;44116,81;46189,75;4,4;50,019;0;70798,1;62524,941;0;44669;0;0,744;35,535;0;1201,961;1100085399;6;233,922;277,651;401,791;0;0,032
08:45;66140,981;49,995;0;72647,808;69757,49;0,756;0,752;38690;176,277;0;3000;2000133842;7;233,544;269,9;270,208;0,141;4;83970,537;44116,81;46189,75;4,4;49,994;0;70798,35;62524,941;0;44669;0;1,209;35,969;0;1213,31;1100085399;6;233,783;282,194;408,395;0;0,032
