CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
08:30;65990,974;50,01;0;72244,985;69376,004;0;0;38440;0;0;3000;2000133842;3;235,357;218,173;549;0;;;;;;;;;;;;;;;;;;;;;;;
08:45;65990,974;49,99;0;72245,236;69376,148;0,012;0,034;38442;2,563;0;3000;2000133842;7;235,767;215,421;339,349;0,13;3,963;83788,724;44021,62;46087,85;4,4;49,518;0;70412,586;62269,897;0;42957;0;1,187;11,467;0;9158,879;1100085399;6;233,028;149,009;146,196;0;0
09:00;65990,979;49,997;0;72245,486;69376,398;0,088;0,163;38442;20,415;0;3000;2000133842;7;235,914;209,146;210,138;0,178;4;83788,724;44021,62;46087,85;4,4;49,995;0;70412,835;62269,897;0;42957;0;0,254;9,438;0;10000;1100085399;2;235,823;95,054;116,023;0;0
09:15;65990,993;50,006;0;72245,735;69376,647;0,24;0,328;38442;56,157;0;3000;2000133842;7;235,893;230,024;231,173;0,161;4;83788,732;44021,62;46087,85;4,4;50,005;0;70413,086;62269,965;142,953;42959;33,539;20,273;34,125;0;10000;1100085399;7;235,727;175,43;201,453;0;0,064
09:30;65991,018;49,999;0;72245,986;69376,898;0,416;0,497;38442;97,667;0;3000;2000133842;7;235,573;241,581;242,488;0,152;4;83788,757;44021,63;46087,87;4,4;49,997;0;70413,335;62270,141;421,367;42960;98,75;54,719;82,172;0;10000;1100085399;2;235,055;331,016;352,039;0;0,219
09:45;65991,041;49,977;0;72246,236;69377,148;0,393;0,468;38442;92,117;0;3000;2000133842;7;235,316;244,711;245,344;0,151;4;83788,767;44021,64;46087,88;4,4;49,975;0;70413,587;62270,208;158,194;42965;37,023;28,186;56,527;0;10000;1100085399;7;235;302,132;360,45;0;0,108
10:00;65991,056;50;0;72246,486;69377,398;0,247;0,318;38442;57,806;0;3000;2000133842;7;235,247;244,256;244,969;0,171;4;83788,781;44021,64;46087,89;4,4;49,998;0;70413,835;62270,345;231,828;42967;54,203;33,523;58,352;0;10000;1100085399;2;234,969;315,43;343,875;0;0,223
