CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
06:30;66735,444;49,996;0;73345,807;70432,583;0;0;38966;0;0;3000;2000133842;3;233,8;224;549;0;;;;;;;;;;;;;;;;;;;;;;;
06:45;66735,445;50,011;0;73346,052;70432,76;0,037;0,082;38969;8,435;0;3000;2000133842;7;233,111;208,87;290,017;0,192;4,09;84700,836;44496,53;46591,61;4,4;50,01;0;71479,288;63054,13;0;46950;0;3,432;13,847;0;1731,369;1100085399;6;235,009;165,847;175,568;0;0
07:00;66735,448;49,992;0;73346,302;70433,01;0,047;0,103;38969;10,588;0;3000;2000133842;7;232,761;213,538;214,697;0,204;4;84700,836;44496,53;46591,61;4,4;49,989;0;71479,538;63054,13;0;46950;0;1,706;12,445;0;2118,613;1100085399;2;234,756;140,092;145,731;0;0
07:15;66735,451;49,977;0;73346,554;70433,237;0,038;0,091;38971;8,5;0;3000;2000133842;7;232,486;201,5;237,949;0,195;4;84700,836;44496,53;46591,61;4,4;49,975;0;71479,788;63054,13;0;46950;0;2,316;12,897;0;2089,974;1100085399;2;234,538;143,607;154,137;0;0
07:30;66735,456;49,995;0;73346,804;70433,487;0,096;0,164;38971;21,93;0;3000;2000133842;7;231,476;225,031;225,617;0,189;4;84700,84;44496,53;46591,61;4,4;49,993;0;71480,038;63054,197;80,547;46951;18,719;16,547;34,781;0;1877,758;1100085399;2;233,734;275,477;288,742;0;0,125
07:45;66735,463;49,989;0;73347,053;70433,736;0,11;0,185;38971;25,094;0;3000;2000133842;7;231,195;215,394;216,307;0,183;4;84700,842;44496,53;46591,61;4,4;49,989;0;71480,289;63054,216;23,328;46952;5,477;11,141;32,797;0;2220,289;1100085399;2;234,25;308,602;344,023;0;0,11
08:00;66735,481;50,014;0;73347,303;70433,987;0,321;0,397;38971;74,452;0;3000;2000133842;7;233,39;241,294;241,683;0,15;4;84700,861;44496,54;46591,62;4,4;50,012;0;71480,54;63054,373;315,429;46955;74,484;47,214;68,968;0;2007,032;1100085399;7;236,881;304,944;341,087;0;0,205
