CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
08:00;66037,465;49,995;0;72447,207;69565,311;0;0,001;38588;0,055;0;3000;2000133842;3;230,453;220,436;536,291;0,061;4;83841,895;44049,85;46118,61;4,4;50,001;0;70604,163;62389,892;0;43878;0;0;13,632;0;4736,842;1100085399;2;232,421;109,053;188,474;0;0
08:15;66037,466;49,994;0;72447,454;69565,478;0,022;0,056;38591;4,992;0;3000;2000133842;7;230,75;208,969;311,648;0,194;4;83841,895;44049,85;46118,61;4,4;49,992;0;70604,413;62389,892;0;43878;0;2,814;18;0;10000;1100085399;2;232,078;192,512;215,512;0;0
08:30;66037,469;49,996;0;72447,706;69565,729;0,06;0,129;38591;13,547;0;3000;2000133842;7;230,58;204,813;205,945;0,182;4;83841,895;44049,85;46118,61;4,4;49,995;0;70604,664;62389,892;0;43878;0;5,359;28,063;0;10000;1100085399;2;232,555;316,891;338,945;0;0
08:45;66037,472;49,977;0;72447,955;69565,979;0,046;0,103;38591;10,336;0;3000;2000133842;7;230,46;205,609;206,266;0,2;4;83841,895;44049,85;46118,61;4,4;49,976;0;70604,914;62389,892;0;43878;0;5,188;27,734;0;10000;1100085399;2;233,438;291,531;326,031;0;0
09:00;66037,482;49,999;0;72448,206;69566,229;0,173;0,242;38591;39,488;0;3000;2000133842;7;230,367;237,403;238,07;0,188;4;83841,902;44049,85;46118,61;4,4;49,998;0;70605,164;62389,977;121,752;43881;28,31;20,93;45,829;0;10000;1100085399;7;233,543;304,349;339,155;0;0,162
09:15;66037,494;50,005;0;72448,457;69566,48;0,201;0,281;38591;46,071;0;3000;2000133842;7;230,786;227,52;227,953;0,187;4;83841,912;44049,85;46118,62;4,4;50,003;0;70605,413;62390,095;175,095;43883;40,77;26,817;51,294;0;10000;1100085399;7;234,063;308,825;345,159;0;0,16
09:30;66037,518;50,022;0;72448,706;69566,729;0,43;0,508;38591;99,205;0;3000;2000133842;7;231,573;238,394;239,22;0,142;4;83841,939;44049,87;46118,64;4,4;50,022;0;70605,665;62390,273;449,258;43885;104,969;58,727;86,156;0;10000;1100085399;7;234,313;324,703;355,172;0;0,2
