CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
06:00;66742,52;50,008;0;73359,473;70445,963;0;0;38972;0;0;3000;2000133842;3;236,75;171,625;549;0;;;;;;;;;;;;;;;;;;;;;;;
06:15;66742,52;50,008;0;73359,718;70446,038;0,004;0,012;38973;0,722;0;3000;2000133842;7;236,541;206,769;422,185;0,078;3,913;84708,936;44500,8;46596,24;4,4;48,916;0;71492,704;63064,319;0;46993;0;3,217;14,783;0;961,696;1100085399;2;230,848;208,674;198,457;0;0
06:30;66742,521;49,993;0;73359,967;70446,262;0,026;0,07;38975;5,932;0;3000;2000133842;7;236,417;205,729;243,381;0,208;4;84708,936;44500,8;46596,24;4,4;49,991;0;71492,955;63064,319;0;46993;0;2,992;12,941;0;1584,613;1100085399;2;235,966;165,521;158,908;0;0
06:45;66742,526;49,999;0;73360,218;70446,513;0,076;0,148;38975;17,627;0;3000;2000133842;7;236,565;212,856;213,983;0,197;4;84708,936;44500,8;46596,24;4,4;49,998;0;71493,206;63064,319;0;46993;0;1,585;9,186;0;1939,966;1100085399;2;236;114,212;105,78;0;0
07:00;66742,536;49,996;0;73360,469;70446,764;0,167;0,249;38975;39,3;0;3000;2000133842;7;236,877;228,483;228,967;0,198;4;84708,936;44500,8;46596,24;4,4;49,996;0;71493,458;63064,323;8,1;46994;1,9;3,392;13,283;0;1750,033;1100085399;7;236,233;116,392;139,742;0;0,009
07:15;66742,556;49,998;0;73360,721;70447,016;0,341;0,419;38975;80,602;0;3000;2000133842;7;236,996;244,712;244,788;0,175;4;84708,957;44500,81;46596,25;4,4;49,998;0;71493,709;63064,487;349,415;46996;82,212;51,415;72,093;0;1868,669;1100085399;7;236,102;318,314;345,907;0;0,205
07:30;66742,59;49,995;0;73360,971;70447,266;0,574;0,628;38975;135,775;0;3000;2000133842;7;236,922;254,581;255,008;0,161;4;84708,983;44500,82;46596,27;4,4;49,993;18;71493,957;63064,623;441,336;46999;103,93;70,438;88,977;0;1853,727;1100085399;8;235,984;337,141;347,813;0;0,137
