CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
06:30;66577,739;50,007;0;73183,441;70275,805;0,001;0,002;38907;0,097;0;3000;2000133842;7;237,461;222,339;532,355;0,059;3,75;84506,216;44395,67;46484,48;4,4;46,876;0;71320,661;62924,266;0;46492;0;6,438;11,938;0;2056,25;1100085399;2;221,813;269,188;168,375;0;0
06:45;66577,741;49,997;0;73183,691;70276,04;0,036;0,087;38908;8,311;0;3000;2000133842;7;237,645;204,756;223,647;0,216;4;84506,216;44395,67;46484,48;4,4;49,994;0;71320,912;62924,266;0;46492;0;3,445;14,277;0;7614,622;1100085399;2;236,849;134,067;176,235;0;0
07:00;66577,75;50,002;0;73183,943;70276,292;0,159;0,237;38908;37,276;0;3000;2000133842;7;237,503;232,56;233,44;0,206;4;84506,218;44395,67;46484,48;4,4;49,999;0;71321,163;62924,294;42,784;46494;10,078;14,172;29,103;0;9184,483;1100085399;7;236,491;229,103;256,672;0;0,088
07:15;66577,768;50,001;0;73184,187;70276,536;0,319;0,388;38908;75,464;0;3000;2000133842;7;237,439;250,5;250,563;0,189;4;84506,245;44395,68;46484,5;4,4;50;0;71321,407;62924,538;465,375;46495;109,768;66,366;84,696;0;10000;1100085399;7;236,67;351,536;353,429;0;0,263
07:30;66577,795;50,004;0;73184,436;70276,786;0,455;0,505;38908;107,887;0;3000;2000133842;7;237,465;260,919;261,21;0,174;4;84506,279;44395,7;46484,52;4,4;50,001;0;71321,657;62924,753;566,565;46496;133,444;81,5;98,71;0;10000;1100085399;7;236,21;345,629;365,194;0;0,273
07:45;66577,832;50,001;0;73184,687;70277,036;0,626;0,641;38908;148,032;0;3000;2000133842;7;237,184;270,968;271,592;0,177;4;84506,302;44395,72;46484,54;4,4;50,001;0;71321,908;62924,872;377,656;46498;88,904;64,208;76,344;0;8320,224;1100085399;2;236;360,792;337,696;0;0,201
08:00;66577,877;50,015;0;73184,937;70277,286;0,752;0,733;38908;177,717;0;3000;2000133842;7;236,913;280,181;280,835;0,171;4;84506,351;44395,74;46484,56;4,4;50,014;0;71322,157;62925,044;826,921;46500;194,756;135,071;119,969;0;5419,937;1100085399;7;235,724;368,646;340,992;0;0,209
