CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
08:30;66005,496;49,98;0;72306,704;69433,897;0;0;38491;0;0;3000;2000133842;3;234,443;206,588;549;0;;;;;;;;;;;;;;;;;;;;;;;
08:45;66005,497;49,992;0;72306,953;69434,092;0,02;0,056;38494;4,422;0;3000;2000133842;7;234,434;207,008;271,875;0,175;4;83805,449;44030,56;46097,38;4,4;49,992;0;70471,565;62304,734;0;43235;0;1,783;13,583;0;2298,908;1100085399;2;234,175;176,8;175,667;0;0
09:00;66005,501;49,991;0;72307,203;69434,342;0,077;0,15;38494;17,9;0;3000;2000133842;7;235,078;210,231;210,854;0,181;4;83805,449;44030,56;46097,38;4,4;49,989;0;70471,815;62304,734;0;43235;0;2,846;18,538;0;3042,146;1100085399;2;234,938;207,108;217,908;0;0
09:15;66005,507;49,987;0;72307,453;69434,592;0,092;0,158;38494;21,364;0;3000;2000133842;6;235,177;228,628;229,543;0,187;4;83805,449;44030,56;46097,38;4,4;49,987;0;70472,065;62304,744;11,643;43236;2,713;8,481;30,86;0;4779,946;1100085399;7;235;316,388;339,969;0;0,014
09:30;66005,517;49,992;0;72307,704;69434,843;0,185;0,267;38494;43,276;0;3000;2000133842;7;234,771;230,583;231,606;0,168;4;83805,464;44030,56;46097,39;4,4;49,99;0;70472,315;62304,917;237,181;43237;55,394;31,913;56;0;6544,134;1100085399;7;234,669;321,709;340,858;0;0,262
09:45;66005,524;49,989;0;72307,952;69435,092;0,115;0,189;38494;26,76;0;3000;2000133842;7;235,018;222,336;223,656;0,185;4;83805,468;44030,56;46097,39;4,4;49,988;0;70472,566;62304,974;68,452;43237;15,976;14,135;37,73;0;9141,984;1100085399;3;234,992;336,254;351,786;0;0,139
10:00;66005,535;49,999;0;72308,203;69435,342;0,181;0,259;38494;42,062;0;3000;2000133842;7;234,574;229,217;229,55;0,172;4;83805,476;44030,57;46097,4;4,4;49,998;0;70472,815;62305,05;148,82;43238;34,75;22,164;47,539;0;10000;1100085399;7;234,547;313,531;345,609;0;0,144
