CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
08:00;66028,028;49,982;0;72403,95;69524,646;0;0;38561;0;0;3000;2000133842;3;235,35;178,929;549;0;;;;;;;;;;;;;;;;;;;;;;;
08:15;66028,028;49,986;0;72404,199;69524,646;0;0;38561;0;0;3000;2000133842;3;234,883;206,317;549;0;;;;;;;;;;;;;;;;;;;;;;;
08:30;66028,029;49,98;0;72404,451;69524,796;0,024;0,059;38562;5,405;0;3000;2000133842;7;233,883;215,587;333;0,141;4,067;83831,382;44044,29;46112,41;4,4;49,558;0;70563,364;62362,755;0;43681;0;4,908;24,202;0;6963,202;1100085399;2;233,882;274,798;288,84;0;0
08:45;66028,032;49,988;0;72404,701;69525,046;0,047;0,102;38562;10,516;0;3000;2000133842;7;233,048;209,047;209,57;0,219;4;83831,382;44044,29;46112,41;4,4;49,988;0;70563,614;62362,755;0;43681;0;6,805;29,086;0;3184,25;1100085399;2;235,547;306,5;326,203;0;0
09:00;66028,038;49,98;0;72404,951;69525,297;0,112;0,186;38562;25,853;0;3000;2000133842;7;233,304;227,31;228,14;0,201;4;83831,382;44044,29;46112,41;4,4;49,98;0;70563,863;62362,755;0;43681;0;6,422;30,461;0;3708,813;1100085399;2;235,391;313,938;356,469;0;0
09:15;66028,046;49,988;0;72405,201;69525,547;0,131;0,203;38562;30,148;0;3000;2000133842;7;233,656;231,773;232,023;0,211;4;83831,383;44044,29;46112,41;4,4;49,987;0;70564,114;62362,782;33,496;43683;7,884;10;35,233;0;4467,217;1100085399;7;236,163;307,752;354,705;0;0,035
09:30;66028,057;49,989;0;72405,452;69525,797;0,192;0,267;38562;44,625;0;3000;2000133842;7;234,551;238,836;238,891;0,181;4;83831,389;44044,29;46112,41;4,4;49,988;36;70564,363;62362,864;99,22;43686;23,323;18,654;44,362;0;5111,362;1100085399;1;236,417;305,512;350,906;0;0,167
