CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
07:45;66133,709;49,986;0;72598,599;69711,015;0;0;38655;0;0;3000;2000133842;3;232,405;202,303;549;0;;;;;;;;;;;;;;;;;;;;;;;
08:00;66133,709;49,978;0;72598,847;69711,224;0,008;0,026;38656;1,598;0;3000;2000133842;7;231,968;199,858;245,614;0,167;3,966;83963,621;44113,17;46185,26;4,4;49,553;0;70751,367;62497,069;0;44438;0;3,025;13,508;0;6501,636;1100085399;2;233,398;166,288;167,932;0;0
08:15;66133,71;49,992;0;72599,098;69711,475;0,013;0,04;38656;2,713;0;3000;2000133842;7;231,566;194,938;198,016;0,188;4;83963,621;44113,17;46185,26;4,4;49,991;0;70751,616;62497,069;0;44438;0;2,648;11,875;0;10000;1100085399;2;234,539;153,117;143,836;0;0
08:30;66133,712;50,004;0;72599,347;69711,684;0,038;0,088;38659;8,457;0;3000;2000133842;7;231,611;205,612;254,891;0,185;4;83963,621;44113,17;46185,26;4,4;50,003;0;70751,867;62497,069;0;44438;0;1,869;13,108;0;10000;1100085399;2;234,685;145,377;148,438;0;0
08:45;66133,715;49,984;0;72599,599;69711,935;0,049;0,108;38659;11,124;0;3000;2000133842;7;231,644;208,225;208,798;0,207;4;83963,621;44113,17;46185,26;4,4;49,983;0;70752,116;62497,069;0;44438;0;8,641;28,281;0;10000;1100085399;2;234,906;290,789;308,523;0;0
09:00;66133,722;50,005;0;72599,848;69712,185;0,118;0,197;38659;26,953;0;3000;2000133842;7;231,563;218,961;219,398;0,177;4;83963,625;44113,17;46185,26;4,4;50,005;0;70752,366;62497,148;69,063;44439;16,086;17,922;39,906;0;10000;1100085399;7;235,172;295,727;336,883;0;0,088
09:15;66133,731;50,005;0;72600,098;69712,435;0,166;0,246;38659;38,252;0;3000;2000133842;7;231,865;229,047;229,709;0,185;4;83963,634;44113,17;46185,27;4,4;50,004;0;70752,616;62497,325;150,535;44441;35,031;29,575;52,85;0;10000;1100085399;7;235,079;307,299;340,929;0;0,208
