CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
08:30;66039,07;50,001;0;72464,445;69581,596;0;0;38600;0;0;3000;2000133842;3;232;212,469;549;0;;;;;;;;;;;;;;;;;;;;;;;
08:45;66039,07;49,986;0;72464,695;69581,701;0,004;0,015;38601;0,872;0;3000;2000133842;7;232,405;214,641;381,573;0,084;3,942;83843,612;44050,7;46119,78;4,4;49,267;0;70620,673;62400,469;0;43952;0;0,841;11,145;0;8405,797;1100085399;2;230,493;170,145;146,826;0;0
09:00;66039,07;49,999;0;72464,946;69581,952;0,009;0,031;38601;1,837;0;3000;2000133842;7;231,693;195,248;199,078;0,172;4;83843,612;44050,7;46119,78;4,4;49,997;0;70620,922;62400,469;0;43952;0;0,453;11,508;0;10000;1100085399;6;233,359;128,336;144,258;0;0
09:15;66039,071;50,004;0;72465,196;69582,174;0,016;0,047;38603;3,367;0;3000;2000133842;7;231,64;201,813;237,82;0,176;4;83843,612;44050,7;46119,78;4,4;50,003;0;70621,174;62400,469;0;43952;0;0,364;14,93;0;10000;1100085399;2;233,853;148,705;185,845;0;0
09:30;66039,076;50,019;0;72465,446;69582,424;0,089;0,165;38603;20,313;0;3000;2000133842;7;232,702;209,172;210,391;0,154;4;83843,612;44050,7;46119,78;4,4;50,017;0;70621,424;62400,469;0;43952;0;5,094;24,773;0;10000;1100085399;2;235,031;271,789;282,609;0;0
09:45;66039,085;49,982;0;72465,697;69582,675;0,146;0,223;38603;33,62;0;3000;2000133842;7;232,035;229,326;230,434;0,178;4;83843,615;44050,7;46119,78;4,4;49,981;18;70621,673;62400,511;54,367;43954;12,711;11,508;35,445;0;10000;1100085399;8;234,594;321,242;343,789;0;0,052
10:00;66039,092;50,001;0;72465,946;69582,924;0,116;0,191;38603;26,781;0;3000;2000133842;7;232,623;225,852;226,305;0,184;4;83843,616;44050,7;46119,78;4,4;49,999;0;70621,923;62400,55;30,783;43955;7,202;9,054;33,907;0;10000;1100085399;2;235,496;318,473;346,178;0;0,086
