CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
06:30;66627,265;49,99;0;73223,536;70314,757;0;0;38917;0;0;3000;2000133842;3;238,271;189,353;549;0;;;;;;;;;;;;;;;;;;;;;;;
06:45;66627,265;49,99;0;73223,788;70314,818;0,005;0,014;38918;1,009;0;3000;2000133842;2;238,036;229,743;451,336;0,083;4;84568,181;44427,83;46518,12;4,4;49,983;0;71360,14;62957,615;0;46581;0;1,825;11,738;0;8750;1100085399;2;238;141,975;152,075;0;0
07:00;66627,267;49,97;0;73224,038;70315,023;0,036;0,087;38922;8,381;0;3000;2000133842;7;237,534;210,144;267,153;0,209;4;84568,181;44427,83;46518,12;4,4;49,968;0;71360,392;62957,615;0;46581;0;1,445;13,647;0;10000;1100085399;2;237,941;145,723;172,84;0;0
07:15;66627,272;49,998;0;73224,289;70315,275;0,091;0,172;38922;21,218;0;3000;2000133842;7;236,86;211,294;212,504;0,197;4;84568,181;44427,83;46518,12;4,4;49,997;0;71360,641;62957,615;0;46581;0;1,144;8,415;0;6534,068;1100085399;2;238,085;113,432;103,797;0;0
07:30;66627,279;49,979;0;73224,538;70315,524;0,106;0,181;38922;24,852;0;3000;2000133842;7;237,028;226,086;226,688;0,211;4;84568,181;44427,83;46518,12;4,4;49,978;0;71360,892;62957,615;0;46581;0;7,093;24,031;0;3210,876;1100085399;3;237,868;263,574;274,798;0;0
07:45;66627,288;50,002;0;73224,788;70315,774;0,15;0,229;38922;35,148;0;3000;2000133842;7;236,303;230,422;231,461;0,174;4;84568,184;44427,83;46518,12;4,4;50;0;71361,142;62957,673;65,367;46583;15,375;17,539;38,727;0;2115,195;1100085399;7;236,805;330,32;326,305;0;0,06
08:00;66627,312;49,997;0;73225,039;70316,025;0,419;0,495;38922;98,667;0;3000;2000133842;7;236,251;243,628;244,279;0,15;4;84568,196;44427,83;46518,13;4,4;49,996;0;71361,391;62957,753;191,133;46585;45,195;32,578;61,055;0;2731,547;1100085399;2;236,836;304,336;369,32;0;0,104
