CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
07:00;66273,579;49,993;0;72795,969;69900,307;0;0;38764;0;0;3000;2000133842;2;236,062;226,344;549;0,039;3,733;84136,788;44203,42;46280,11;4,4;46,663;0;70942,468;62633,208;0;45144;0;4;12,8;0;3333,333;1100085399;2;222;240,733;176,067;0;0
07:15;66273,58;50,005;0;72796,216;69900,498;0,026;0,066;38767;5,776;0;3000;2000133842;7;235,966;207,138;274,578;0,197;4;84136,788;44203,42;46280,11;4,4;50,003;0;70942,712;62633,208;0;45144;0;2,687;12,913;0;7431,478;1100085399;2;237,183;146,096;156,374;0;0
07:30;66273,589;50,003;0;72796,465;69900,746;0,159;0,241;38767;36,984;0;3000;2000133842;7;235,236;223,289;223,664;0,183;4;84136,788;44203,42;46280,11;4,4;50,001;0;70942,963;62633,208;0;45144;0;3,155;7,845;0;6120,116;1100085399;2;237,318;83,574;70,791;0;0
07:45;66273,604;49,991;0;72796,714;69900,996;0,25;0,316;38767;58,315;0;3000;2000133842;7;235,069;249,787;250,165;0,203;4;84136,799;44203,42;46280,11;4,4;49,99;0;70943,213;62633,33;195,299;45145;46,024;29,685;56,409;0;2019,181;1100085399;1;236,299;290,433;366,378;0;0,147
08:00;66273,621;49,985;0;72796,965;69901,247;0,284;0,35;38767;66,11;0;3000;2000133842;7;234,036;249,827;250,213;0,188;4;84136,799;44203,42;46280,11;4,4;49,983;0;70943,464;62633,33;0;45145;0;0,512;35,276;0;1351,921;1100085399;6;235,433;273,157;397,795;0;0,068
08:15;66273,638;49,99;0;72797,216;69901,498;0,287;0,352;38767;66,769;0;3000;2000133842;7;233,889;250,346;250,415;0,196;4;84136,804;44203,42;46280,12;4,4;49,989;0;70943,712;62633,374;77,589;45146;18,217;12,395;43,915;0;1415,605;1100085399;7;235,667;290,062;386,349;0;0,096
08:30;66273,657;50,009;0;72797,464;69901,746;0,339;0,404;38767;78,952;0;3000;2000133842;7;233,902;249,889;250,508;0,178;4;84136,825;44203,44;46280,13;4,4;50,008;0;70943,963;62633,551;356,244;45148;83,717;50,913;74,402;0;1584,677;1100085399;7;235,709;324,827;365,268;0;0,19
