CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
08:00;66034,109;49,994;0;72430,087;69549,164;0,003;0,007;38571;0,581;0;3000;2000133842;7;229,355;214,743;515,743;0,026;4;83838,323;44048,01;46116,41;4,4;50,471;0;70587,903;62378,264;0;43803;0;0,923;15,538;0;739,231;1100085399;2;233;292,462;220,462;0;0
08:15;66034,109;49,996;0;72430,24;69549,234;0,025;0,055;38575;5,474;0;3000;2000133842;7;228,963;207,379;350,053;0,17;4;83838,323;44048,01;46116,41;4,4;49,995;0;70588,008;62378,264;0;43803;0;1,614;11,289;0;1855,048;1100085399;2;232,952;176,952;145,373;0;0
08:30;66034,126;50,009;0;72430,489;69549,483;0,296;0,383;38575;67,616;0;3000;2000133842;7;229,78;222,416;222,552;0,157;4;83838,344;44048,02;46116,42;4,4;50,007;0;70588,257;62378,433;363,456;43804;84,36;43,624;64,152;0;5053,96;1100085399;7;233,072;262,704;285,024;0;0,126
08:45;66034,157;49,995;0;72430,74;69549,734;0,527;0,581;38575;121,048;0;3000;2000133842;7;230,166;248,992;249,548;0,161;4;83838,382;44048,04;46116,45;4,4;49,994;0;70588,506;62378,647;649,032;43805;150,8;84,736;111,456;0;7725,904;1100085399;7;232,944;340,112;349,552;0;0,243
09:00;66034,179;50,012;0;72430,99;69549,984;0,384;0,435;38575;87,921;0;3000;2000133842;7;229,417;252,079;252,795;0,162;4;83838,412;44048,05;46116,47;4,4;50,01;0;70588,758;62378,857;491,68;43805;114,117;68,742;92,953;0;10000;1100085399;2;232,695;338,141;353,508;0;0,232
09:15;66034,199;50,014;0;72431,239;69550,234;0,347;0,418;38575;79,283;0;3000;2000133842;7;229,394;240,37;240,567;0,165;4;83838,437;44048,06;46116,48;4,4;50,013;0;70589,008;62379,07;423,087;43807;97,969;54,638;83,039;0;10000;1100085399;7;232,496;327,795;343,134;0;0,24
09:30;66034,231;50,03;0;72431,491;69550,485;0,562;0,617;38575;129,164;0;3000;2000133842;7;230,345;245,578;245,68;0,142;4;83838,474;44048,08;46116,51;4,4;50,027;0;70589,256;62379,284;636,543;43808;147,882;80,236;107,394;0;10000;1100085399;7;232,953;343,402;354,417;0;0,227
