CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
06:45;66300,966;49,992;0;72850,833;69953,362;0;0;38786;0;0;3000;2000133842;3;236,253;195,211;549;0;;;;;;;;;;;;;;;;;;;;;;;
07:00;66300,966;50,003;0;72851,081;69953,362;0;0;38786;0;0;3000;2000133842;3;235,82;218,706;549;0;4;84169,234;44220,4;46298,35;4,4;50,337;0;70995,83;62670,089;0;45393;0;1,333;16;0;0;1100085399;6;239;187,333;230,556;0;0
07:15;66300,967;50,005;0;72851,333;69953,516;0,02;0,05;38790;4,405;0;3000;2000133842;6;235,633;215,577;328,351;0,154;4,065;84169,234;44220,4;46298,35;4,4;50,003;0;70996,042;62670,089;0;45393;0;2,103;14,607;0;2831,944;1100085399;2;238,991;165,243;184,495;0;0
07:30;66300,976;50,007;0;72851,584;69953,766;0,158;0,256;38790;36,73;0;3000;2000133842;7;234,375;208,532;209,563;0,156;4;84169,242;44220,4;46298,35;4,4;50,005;0;70996,29;62670,236;141,6;45395;33,352;30,728;51,304;0;5016,368;1100085399;7;238,128;317,152;332,608;0;0,199
07:45;66300,983;49,995;0;72851,833;69954,016;0,122;0,198;38790;27,952;0;3000;2000133842;7;231,901;223,88;224,88;0,176;4;84169,248;44220,4;46298,36;4,4;49,994;0;70996,542;62670,321;89,484;45396;21,04;19,532;41,627;0;9167,944;1100085399;2;236,913;307,476;333,603;0;0,238
08:00;66300,993;50,008;0;72852,084;69954,266;0,169;0,254;38790;38,874;0;3000;2000133842;7;232,366;220,685;221,693;0,155;4;84169,256;44220,41;46298,37;4,4;50,005;0;70996,791;62670,425;144,516;45397;33,944;24,532;45,095;0;10000;1100085399;7;236,048;304,524;331,159;0;0,265
08:15;66301,035;50,017;0;72852,334;69954,516;0,73;0,827;38790;169,598;0;3000;2000133842;7;232,794;231,953;232,283;0,129;4;84169,295;44220,43;46298,39;4,4;50,015;0;70997,041;62670,608;656,268;45398;155,11;93,457;116,118;0;10000;1100085399;7;236,551;324,417;356,583;0;0,224
