CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
07:45;66043,732;49,99;0;72491,403;69606,971;0,002;0,006;38621;0,409;0;3000;2000133842;7;229,886;210,818;490,303;0,035;4,4;83848,079;44053,01;46122,56;4,4;46,637;0;70646,285;62415,69;0;44079;0;0;18,4;0;1703,6;1100085399;2;217,467;207,467;266,067;0;0
08:00;66043,735;49,98;0;72491,651;69607,219;0,067;0,132;38621;15,118;0;3000;2000133842;7;230,184;204,945;206,52;0,155;4;83848,079;44053,01;46122,56;4,4;49,979;0;70646,536;62415,69;0;44079;0;0,672;10,211;0;5918,508;1100085399;2;232,359;134,836;127,57;0;0
08:15;66043,753;49,981;0;72491,901;69607,469;0,307;0,377;38621;70,219;0;3000;2000133842;7;230,063;240,047;240,43;0,141;4;83848,094;44053,01;46122,57;4,4;49,977;0;70646,786;62415,804;267,539;44080;62,086;31,5;48,555;0;6698,516;1100085399;7;232,734;203,805;217,422;0;0,12
08:30;66043,787;49,981;0;72492,152;69607,721;0,596;0,624;38621;136,422;0;3000;2000133842;7;229,557;257,516;258;0,124;4;83848,113;44053,02;46122,58;4,4;49,979;0;70647,035;62415,903;314,252;44083;73,016;48,866;75,189;0;3077,181;1100085399;1;232,795;329,732;383,291;0;0,177
08:45;66043,818;49,979;0;72492,402;69607,97;0,531;0,538;38621;121,89;0;3000;2000133842;7;230,049;273,449;274,071;0,147;4;83848,141;44053,04;46122,6;4,4;49,978;0;70647,287;62416,069;480,234;44085;111,242;64,078;96,68;0;2423,305;1100085399;6;232,258;322,523;366,875;0;0,157
09:00;66043,85;49,997;0;72492,651;69608,219;0,561;0,577;38621;128,651;0;3000;2000133842;7;229,957;266,349;266,868;0,136;4;83848,157;44053,04;46122,61;4,4;49,994;0;70647,536;62416,162;277,372;44087;64,124;38,078;69,705;0;1668,395;1100085399;6;231,977;315,163;382,744;0;0,137
09:15;66043,891;49,994;0;72492,902;69608,47;0,701;0,704;38621;161,409;0;3000;2000133842;7;230,504;266,898;267,449;0,131;4;83848,157;44053,04;46122,61;4,4;49,993;0;70647,787;62416,162;0;44087;0;0;34,992;0;1098,646;1100085399;1;232,386;282,937;414,197;0;0,076
