CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
06:30;66342,035;49,985;0;72897,842;69998,607;0,008;0,022;38800;1,57;0;3000;2000133842;7;235,867;211,667;376,935;0,116;4;84219,146;44246,4;46325,88;4,4;49,983;0;71041,103;62706,823;0;45520;0;3,309;13,618;0;8545,455;1100085399;2;238,109;183,927;177,145;0;0
06:45;66342,039;50,018;0;72898,089;69998,84;0,07;0,138;38801;16,265;0;3000;2000133842;7;236,074;208,053;225,177;0,203;4;84219,146;44246,4;46325,88;4,4;50,017;0;71041,35;62706,823;0;45520;0;2,142;9,345;0;10000;1100085399;6;238,805;117,611;110,221;0;0
07:00;66342,051;50;0;72898,339;69999,091;0,208;0,288;38801;49,043;0;3000;2000133842;7;236,674;236,426;236,983;0,193;4;84219,159;44246,4;46325,89;4,4;49,998;0;71041,6;62706,988;220,53;45523;52,565;35,817;58,887;0;10000;1100085399;7;239,565;321,53;352,096;0;0,18
07:15;66342,078;50,002;0;72898,591;69999,343;0,448;0,517;38801;105,376;0;3000;2000133842;7;235,991;248,043;248,641;0,171;4;84219,183;44246,42;46325,9;4,4;50;0;71041,852;62707,136;385,709;45526;91,889;61,427;85,641;0;10000;1100085399;7;238,983;330,65;353,581;0;0,191
07:30;66342,121;50,007;0;72898,841;69999,592;0,743;0,752;38801;174,778;0;3000;2000133842;7;235,813;267,111;267,627;0,161;4;84219,219;44246,44;46325,93;4,4;50,005;0;71042,103;62707,288;586,717;45529;139,701;87,701;106,567;0;10000;1100085399;7;238,449;333,472;360,039;0;0,165
07:45;66342,177;50;0;72899,091;69999,843;0,949;0,926;38801;223,598;0;3000;2000133842;7;236,028;272,031;272,22;0,155;4;84219,247;44246,46;46325,94;4,4;49,998;0;71042,352;62707,372;442,173;45533;104,992;102,135;86,206;0;10000;1100085399;6;237,669;385,693;321,929;0;0,1
08:00;66342,289;50,008;0;72899,341;70000,093;1,904;1,724;38801;448,598;0;3000;2000133842;7;235,818;280,89;281,402;0,192;4;84219,311;44246,5;46325,98;4,4;50,005;36;71042,604;62707,478;1051,764;45537;250,118;192,164;156,758;0;10000;1100085399;8;237,764;364,709;369,102;0;0,13
