CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
07:00;66259,06;49,992;0;72763,803;69869,54;0,007;0,02;38741;1,356;0;3000;2000133842;7;235,888;212,069;376,792;0,149;3,94;84121,2;44195,16;46271,18;4,4;49,241;0;70911,285;62612,052;0;45009;0;4,642;15,552;0;2144,731;1100085399;2;231,493;177,896;202,104;0;0
07:15;66259,062;49,984;0;72764,053;69869,749;0,033;0,078;38744;7,508;0;2998,542;2000133842;7;236,014;213,508;264,475;0,232;4;84121,2;44195,16;46271,18;4,4;49,984;0;70911,535;62612,052;0;45009;0;6,195;17,797;0;2077,254;1100085399;2;235,085;216,093;211,39;0;0
07:30;66259,071;49,989;0;72764,304;69870,001;0,154;0,24;38744;35,992;0;3000;2000133842;7;236,331;215,109;216,109;0,216;4;84121,211;44195,16;46271,18;4,4;49,986;0;70911,784;62612,199;191,575;45010;44,756;31,118;49,677;0;2447,488;1100085399;7;235,433;326,63;352,496;0;0,153
07:45;66259,093;49,996;0;72764,554;69870,251;0,378;0,448;38744;88,811;0;3000;2000133842;7;235,78;247,819;248,142;0,199;4;84121,241;44195,18;46271,21;4,4;49,995;0;70912,034;62612,432;504,661;45010;118,165;68,606;90,543;0;2509;1100085399;6;235;347,591;354,921;0;0,239
08:00;66259,137;49,99;0;72764,804;69870,501;0,742;0,757;38744;174,323;0;3000;2000133842;7;235,343;262,953;263,339;0,192;4;84121,281;44195,2;46271,23;4,4;49,988;0;70912,284;62612,61;676,669;45012;158,394;96,15;121,913;0;2644,244;1100085399;7;234,575;332,976;364,606;0;0,197
08:15;66259,226;49,986;0;72765,053;69870,75;1,528;1,41;38744;359,134;0;3000;2000133842;7;235,243;277,961;278,26;0,21;4;84121,347;44195,24;46271,27;4,4;49,984;0;70912,535;62612,76;1101,266;45014;258,336;169,578;173,766;0;2933,102;1100085399;2;234,656;358,703;368,914;0;0,14
08:30;66259,316;49,998;0;72765,305;69871,001;1,52;1,363;38744;357,419;0;3000;2000133842;7;235,432;286,729;287,171;0,206;4;84121,423;44195,28;46271,32;4,4;49,997;0;70912,784;62612,935;1311,656;45017;307,57;194,977;189,563;0;3253,188;1100085399;7;234,672;344,648;367,82;0;0,239
