CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
07:30;66103,704;49,993;0;72568,641;69681,778;0,007;0,021;38646;1,387;0;3000;2000133842;7;231,272;205,217;376,868;0,102;4;83924,495;44092,71;46164,21;4,4;49,994;0;70721,693;62473,357;0;44333;0;1,65;13,717;0;8333,333;1100085399;2;233,5;174,967;178,417;0;0
07:45;66103,707;49,992;0;72568,891;69682,014;0,053;0,115;38647;11,915;0;3000;2000133842;7;230,783;204,323;221,662;0,184;4;83924,495;44092,71;46164,21;4,4;49,991;0;70721,943;62473,357;0;44333;0;5,315;24,4;0;10000;1100085399;2;233,069;271,092;290,346;0;0
08:00;66103,715;49,991;0;72569,141;69682,265;0,149;0,219;38647;34,07;0;3000;2000133842;7;231,131;235,992;236,086;0,177;4;83924,503;44092,71;46164,21;4,4;49,99;0;70722,193;62473,504;134,258;44335;30,984;25,711;50,414;0;10000;1100085399;1;232,844;318,172;354,469;0;0,169
08:15;66103,73;49,987;0;72569,392;69682,515;0,25;0,314;38647;57,496;0;3000;2000133842;7;231,055;248,764;249,512;0,178;4;83924,516;44092,72;46164,23;4,4;49,985;0;70722,442;62473,676;217,952;44337;50,405;35,96;62,69;0;10000;1100085399;1;232,833;336,206;371,468;0;0,116
08:30;66103,749;50,004;0;72569,641;69682,764;0,329;0,386;38647;75,661;0;3000;2000133842;7;231,117;253,063;253,764;0,168;4;83924,534;44092,73;46164,24;4,4;50,003;0;70722,693;62473,811;306,82;44340;71,039;42,32;67,719;0;10000;1100085399;7;232,328;309,023;359,438;0;0,208
08:45;66103,774;49,972;0;72569,892;69683,015;0,426;0,472;38647;98,473;0;3000;2000133842;7;231,766;258,287;258,426;0,157;4;83924,575;44092,75;46164,26;4,4;49,969;0;70722,941;62474,024;707,695;44341;164,313;111,633;97,383;0;10000;1100085399;7;232,727;373,609;347,727;0;0,187
09:00;66103,812;50,005;0;72570,141;69683,265;0,674;0,646;38647;155,539;0;3000;2000133842;7;231,191;281,648;282,164;0,141;4;83924,658;44092,83;46164,28;4,4;50,004;0;70723,191;62474,191;1406,898;44343;326,93;307,656;103,859;0;8954,867;1100085399;0;232,57;377,086;351,258;0;0,149
