CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
06:00;66798,367;49,976;0;73430,362;70514,661;0,009;0,026;38992;1,911;0;3000;2000133842;7;236,468;208,875;391,107;0,129;3,935;84777,738;44536,72;46634,35;4,4;49,163;0;71561,444;63121,035;0;47186;0;3,113;14,645;0;8387,097;1100085399;2;231,871;171,968;191,952;0;0
06:15;66798,37;49,969;0;73430,613;70514,9;0,061;0,126;38993;14,158;0;3000;2000133842;7;236,278;211,4;229,883;0,222;4;84777,738;44536,72;46634,35;4,4;49,969;0;71561,693;63121,035;0;47186;0;8,294;24,471;0;10000;1100085399;2;235,63;290,345;287,723;0;0
06:30;66798,38;49,951;0;73430,863;70515,15;0,161;0,235;38993;37,757;0;3000;2000133842;7;236,892;238,548;238,652;0,203;4;84777,75;44536,72;46634,35;4,4;49,949;0;71561,945;63121,204;216,578;47187;51,224;31,017;51,888;0;10000;1100085399;7;237,828;323,905;365,698;0;0,174
06:45;66798,395;49,977;0;73431,114;70515,401;0,258;0,327;38993;60,672;0;3000;2000133842;7;236,805;249,733;250,017;0,182;4;84777,773;44536,73;46634,37;4,4;49,975;0;71562,194;63121,453;395,374;47187;93,565;52,713;77,13;0;10000;1100085399;7;237,991;350,635;349,174;0;0,224
07:00;66798,415;49,984;0;73431,365;70515,652;0,331;0,397;38993;77,853;0;3000;2000133842;7;235,974;251,81;252,44;0,173;4;84777,804;44536,75;46634,4;4,4;49,983;0;71562,445;63121,705;507,181;47187;120,112;64,621;90,207;0;10000;1100085399;7;237,966;360,302;356,491;0;0,243
07:15;66798,438;50,003;0;73431,616;70515,903;0,395;0,451;38993;92,726;0;3000;2000133842;7;235,567;257,026;257,214;0,155;4;84777,835;44536,77;46634,42;4,4;50,002;0;71562,697;63121,911;487,795;47188;115,436;66,803;88,872;0;10000;1100085399;7;237,462;345,513;359,607;0;0,189
07:30;66798,471;49,995;0;73431,866;70516,152;0,55;0,582;38993;128,74;0;3000;2000133842;7;234,916;263,52;263,992;0,146;4;84777,882;44536,79;46634,45;4,4;49,993;0;71562,945;63122,16;797,543;47188;187,992;107,134;126,283;0;10000;1100085399;7;236,323;366,22;362,732;0;0,26
