CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
08:15;66038,349;49,99;0;72455,887;69573,509;0;0;38593;0;0;3000;2000133842;3;231,217;212,808;549;0;4;83842,876;44050,34;46119,27;4,4;50,685;0;70612,393;62395,46;0;43915;0;0,625;14;0;0;1100085399;6;233,25;227,875;206;0;0
08:30;66038,35;50;0;72456,139;69573,669;0,017;0,045;38599;3,68;0;3000;2000133842;7;231,504;215,508;322,25;0,177;4;83842,876;44050,34;46119,27;4,4;49,997;0;70612,62;62395,46;0;43915;0;1,413;15,27;0;2029,333;1100085399;2;233,421;184,508;185,754;0;0
08:45;66038,354;49,991;0;72456,388;69573,918;0,083;0,152;38599;18,857;0;3000;2000133842;7;231,579;215,81;216,603;0,198;4;83842,879;44050,34;46119,27;4,4;49,99;0;70612,871;62395,512;56,669;43916;13,15;11,402;34,953;0;1906,606;1100085399;6;233,173;303,866;332,323;0;0,078
09:00;66038,358;50,005;0;72456,637;69574,152;0,061;0,112;38600;13,787;0;3000;2000133842;7;230,869;226,701;247,992;0,203;4;83842,879;44050,34;46119,27;4,4;50,002;0;70613,12;62395,512;0;43917;0;7,362;28,992;0;1579,465;1100085399;2;232,543;306,307;329,362;0;0,167
09:15;66038,364;50,001;0;72456,889;69574,404;0,111;0,192;38600;25,252;0;3000;2000133842;7;230,876;209,236;209,709;0,181;4;83842,883;44050,34;46119,27;4,4;49,999;0;70613,371;62395,562;60,302;43918;13,944;11,119;35,81;0;1812,468;1100085399;3;232,46;310,206;334,19;0;0,098
09:30;66038,38;50,024;0;72457,138;69574,653;0,27;0,341;38600;61,929;0;3000;2000133842;7;230,843;241,286;241,873;0,149;4;83842,883;44050,34;46119,27;4,4;50,022;0;70613,621;62395,562;0;43918;0;0,173;31,78;0;1445,134;1100085399;1;232,268;238,197;384,268;0;0,232
09:45;66038,393;49,987;0;72457,388;69574,903;0,237;0,315;38600;54,425;0;3000;2000133842;7;231,05;234,843;235,244;0,18;4;83842,886;44050,34;46119,27;4,4;49,987;0;70613,871;62395,604;56,283;43919;12,945;8,409;37,394;0;1735,008;1100085399;6;231,441;291,307;364,339;0;0,13
