CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
08:15;66020,458;49,991;0;72347,081;69471,574;0;0;38523;0;0;3000;2000133842;3;231,493;198,507;549;0;;;;;;;;;;;;;;;;;;;;;;;
08:30;66020,458;49,976;0;72347,331;69471,771;0,011;0,034;38524;2,254;0;3000;2000133842;7;231,567;202,516;259,5;0,158;3,964;83823,726;44040,35;46107,4;4,4;49,524;0;70509,604;62329,323;0;43434;0;2,306;12,315;0;9189,189;1100085399;2;231,162;192,811;157,577;0;0
08:45;66020,459;49,959;0;72347,582;69471,954;0,022;0,057;38529;4,923;0;3000;2000133842;7;232,376;211,954;293,608;0,201;4;83823,726;44040,35;46107,4;4,4;49,956;0;70509,854;62329,323;0;43434;0;1,186;11,62;0;10000;1100085399;2;233,519;157,736;145,705;0;0
09:00;66020,466;49,98;0;72347,831;69472,203;0,108;0,191;38529;24,813;0;3000;2000133842;7;232,609;210,711;211,859;0,173;4;83823,73;44040,35;46107,4;4,4;49,979;0;70510,105;62329,412;71,791;43435;16,605;15,38;33,504;0;10000;1100085399;2;233,922;237,38;261,713;0;0,118
09:15;66020,481;49,992;0;72348,081;69472,453;0,263;0,337;38529;61,132;0;3000;2000133842;7;233,429;242,597;243,589;0,166;4;83823,741;44040,35;46107,41;4,4;49,991;0;70510,355;62329,54;194,45;43439;45,047;33,612;60,426;0;10000;1100085399;7;233,295;306,008;351,186;0;0,161
09:30;66020,498;49,997;0;72348,332;69472,704;0,29;0,356;38529;67,367;0;3000;2000133842;7;233,468;247,719;247,813;0,152;4;83823,756;44040,36;46107,42;4,4;49,996;0;70510,604;62329,692;245,787;43441;57,094;37,197;62,37;0;10000;1100085399;2;233,409;319,638;351,606;0;0,155
09:45;66020,529;49,968;0;72348,582;69472,953;0,538;0,6;38529;125,516;0;3000;2000133842;7;233,8;248,656;248,969;0,136;4;83823,792;44040,38;46107,45;4,4;49,967;0;70510,855;62329,891;619,318;43442;144,465;86,186;116,62;0;10000;1100085399;7;233,953;346,248;362,682;0;0,185
