CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
08:15;65985,551;49,971;0;72214,072;69348,128;0;0;38396;0;0;3000;2000133842;3;236,1;185,5;549;0;;;;;;;;;;;;;;;;;;;;;;;
08:30;65985,552;49,98;0;72214,322;69348,268;0,024;0,058;38398;5,57;0;3000;2000133842;7;236,393;211,074;339,959;0,13;4,023;83783,953;44019,1;46084,94;4,4;49,399;0;70383,793;62255,372;0;42794;0;0,674;11,477;0;2879,651;1100085399;2;233,244;144,628;150,919;0;0
08:45;65985,557;49,998;0;72214,573;69348,518;0,095;0,174;38398;22,102;0;3000;2000133842;7;236,675;216,328;216,852;0,183;4;83783,953;44019,1;46084,94;4,4;49,995;0;70384,044;62255,372;0;42794;0;5,945;27,25;0;3194,891;1100085399;2;236,117;284,125;320,469;0;0
09:00;65985,567;49,983;0;72214,822;69348,767;0,161;0,241;38398;37,835;0;3000;2000133842;7;237,513;230,449;231,197;0,161;4;83783,959;44019,1;46084,94;4,4;49,98;0;70384,295;62255,454;113,664;42796;26,813;19,109;41,711;0;3689,344;1100085399;2;237,063;327,758;355,047;0;0,086
09:15;65985,584;49,984;0;72215,072;69349,017;0,284;0,358;38398;67,155;0;3000;2000133842;7;237,481;246,643;246,698;0,162;4;83783,968;44019,1;46084,95;4,4;49,981;0;70384,545;62255,523;147,798;42800;34,946;26,14;50,915;0;4785,899;1100085399;2;237,124;315,171;370,628;0;0,11
09:30;65985,616;49,982;0;72215,321;69349,267;0,552;0,613;38398;130,693;0;3000;2000133842;7;237,34;251,236;251,819;0,151;4;83784,013;44019,13;46084,98;4,4;49,979;0;70384,794;62255,764;763,528;42801;180,551;96,039;121,449;0;5665;1100085399;7;237,008;349,661;357,472;0;0,199
09:45;65985,674;49,968;0;72215,571;69349,517;0,973;0,979;38398;230,409;0;3000;2000133842;7;237,216;264,37;264,827;0,147;4;83784,081;44019,16;46085,02;4,4;49,965;0;70385,044;62255,982;1109,756;42802;262,567;149,89;173,811;0;6365,157;1100085399;7;236,921;345,134;364,346;0;0,232
