CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
08:30;65996,795;49,976;0;72260,764;69391,246;0,008;0,023;38449;1,718;0;3000;2000133842;7;231,026;210,165;417,518;0,1;4,021;83795,252;44025,3;46091,33;4,4;48,908;0;70427,809;62278,941;0;43055;0;0,553;14,617;0;3930,17;1100085399;2;226,787;181,957;193,043;0;0
08:45;65996,803;49,955;0;72261,014;69391,496;0,134;0,216;38449;30,693;0;3000;2000133842;7;231,617;211,441;212,118;0,184;4;83795,253;44025,3;46091,33;4,4;49,953;0;70428,059;62278,964;35,063;43057;8,118;10,89;33,37;0;7568,654;1100085399;6;232,976;266,087;323,756;0;0,052
09:00;65996,818;49,988;0;72261,264;69391,746;0,263;0,337;38449;60,672;0;3000;2000133842;7;231,734;239,313;239,695;0,177;4;83795,267;44025,3;46091,34;4,4;49,985;0;70428,309;62279,077;217,453;43060;50,531;33,773;59,508;0;9970,117;1100085399;1;233,234;309,68;351,195;0;0,197
09:15;65996,838;49,996;0;72261,514;69391,996;0,339;0,423;38449;78,531;0;3000;2000133842;7;232,617;234,992;235,742;0,156;4;83795,282;44025,31;46091,35;4,4;49,995;0;70428,559;62279,194;251,07;43063;58,5;37,313;65,695;0;10000;1100085399;7;234,023;307;354,031;0;0,152
09:30;65996,853;50,013;0;72261,764;69392,246;0,264;0,336;38449;61,117;0;3000;2000133842;7;232,975;242,93;243,953;0,18;4;83795,297;44025,32;46091,36;4,4;50,012;0;70428,809;62279,349;249,398;43065;57,906;32,922;60,414;0;10000;1100085399;3;233,305;321,781;348,977;0;0,17
09:45;65996,876;49,998;0;72262,014;69392,496;0,388;0,454;38449;89,852;0;3000;2000133842;7;232,533;246,117;246,75;0,162;4;83795,327;44025,33;46091,38;4,4;49,995;0;70429,059;62279,576;523,656;43066;121,547;63,906;91,172;0;9364,258;1100085399;7;233,133;329,203;346,461;0;0,219
10:00;65996,891;50,011;0;72262,264;69392,746;0,261;0,322;38449;60,359;0;3000;2000133842;7;232,923;249,758;249,852;0,188;4;83795,349;44025,34;46091,4;4,4;50,009;0;70429,311;62279,817;356,86;43066;83,085;49,411;77,55;0;9349;1100085399;3;234,279;340,775;345,651;0;0,178
