CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
07:00;66473,043;49,999;0;73092,657;70187,723;0;0;38873;0;0;3000;2000133842;3;237,847;188,067;549;0;;;;;;;;;;;;;;;;;;;;;;;
07:15;66473,043;49,985;0;73092,909;70187,762;0,002;0,006;38875;0,351;0;3000;2000133842;7;238,091;218,649;485,342;0,088;4;84373,942;44327,21;46412,27;4,4;50,096;0;71232,225;62854,535;0;46228;0;2,886;14,477;0;7727,273;1100085399;2;238;170,114;189,364;0;0
07:30;66473,043;49,994;0;73093,16;70187,97;0,014;0,041;38878;3,1;0;3000;2000133842;7;238,095;210,046;263,069;0,217;4;84373,942;44327,21;46412,27;4,4;49,993;0;71232,473;62854,535;0;46228;0;2,628;14,698;0;10000;1100085399;2;237,775;169,814;183,364;0;0
07:45;66473,047;49,99;0;73093,409;70188,219;0,053;0,115;38878;12,26;0;3000;2000133842;7;237,789;201,346;203,268;0,215;4;84373,942;44327,21;46412,27;4,4;49,987;0;71232,723;62854,535;0;46228;0;8,811;28,961;0;10000;1100085399;2;237,394;288,992;326,213;0;0
08:00;66473,055;49,989;0;73093,66;70188,47;0,15;0,231;38878;35,258;0;3000;2000133842;7;237,166;229,516;229,898;0,213;4;84373,953;44327,21;46412,27;4,4;49,988;0;71232,974;62854,693;194,977;46231;45,813;26,727;51,648;0;10000;1100085399;7;236,477;321,109;341,008;0;0,238
08:15;66473,068;49,996;0;73093,909;70188,719;0,217;0,294;38878;50,976;0;3000;2000133842;7;236,842;240,378;241,394;0,206;4;84373,964;44327,22;46412,28;4,4;49,996;0;71233,225;62854,827;179,93;46234;42,258;28,492;53,367;0;10000;1100085399;7;236,219;322,195;351,688;0;0,204
08:30;66473,087;49,999;0;73094,159;70188,969;0,32;0,393;38878;75,453;0;3000;2000133842;6;236,809;247,211;247,625;0,197;4;84373,982;44327,23;46412,3;4,4;49,998;0;71233,473;62854,983;305,984;46236;72,008;43,346;69,732;0;10000;1100085399;1;236,047;338,913;358;0;0,219
